Test,Placement,Size,Cycles
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,4096,13.92
LOAD_FROM_MODIFIED,LOCAL,4096,14.71
LOAD_FROM_EXCLUSIVE,LOCAL,4096,15.42
STORE_ON_SHARED_OR_FORWARD,LOCAL,4096,14.26
STORE_ON_MODIFIED,LOCAL,4096,15.26
STORE_ON_EXCLUSIVE,LOCAL,4096,15.35
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,4096,23.83
LOAD_FROM_MODIFIED,SOCKET,4096,23.67
LOAD_FROM_EXCLUSIVE,SOCKET,4096,23.41
STORE_ON_SHARED_OR_FORWARD,SOCKET,4096,25.21
STORE_ON_MODIFIED,SOCKET,4096,25.16
STORE_ON_EXCLUSIVE,SOCKET,4096,24.75
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,4096,24.35
LOAD_FROM_MODIFIED,GLOBAL,4096,24.38
LOAD_FROM_EXCLUSIVE,GLOBAL,4096,24.39
STORE_ON_SHARED_OR_FORWARD,GLOBAL,4096,26.87
STORE_ON_MODIFIED,GLOBAL,4096,26.67
STORE_ON_EXCLUSIVE,GLOBAL,4096,26.73
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,8192,12.75
LOAD_FROM_MODIFIED,LOCAL,8192,13.61
LOAD_FROM_EXCLUSIVE,LOCAL,8192,14.27
STORE_ON_SHARED_OR_FORWARD,LOCAL,8192,13.78
STORE_ON_MODIFIED,LOCAL,8192,14.54
STORE_ON_EXCLUSIVE,LOCAL,8192,17.06
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,8192,23.53
LOAD_FROM_MODIFIED,SOCKET,8192,23.58
LOAD_FROM_EXCLUSIVE,SOCKET,8192,23.69
STORE_ON_SHARED_OR_FORWARD,SOCKET,8192,24.98
STORE_ON_MODIFIED,SOCKET,8192,25.05
STORE_ON_EXCLUSIVE,SOCKET,8192,25.05
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,8192,24.33
LOAD_FROM_MODIFIED,GLOBAL,8192,24.45
LOAD_FROM_EXCLUSIVE,GLOBAL,8192,24.4
STORE_ON_SHARED_OR_FORWARD,GLOBAL,8192,26.88
STORE_ON_MODIFIED,GLOBAL,8192,26.83
STORE_ON_EXCLUSIVE,GLOBAL,8192,26.92
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,16384,13.36
LOAD_FROM_MODIFIED,LOCAL,16384,14.93
LOAD_FROM_EXCLUSIVE,LOCAL,16384,14.54
STORE_ON_SHARED_OR_FORWARD,LOCAL,16384,13.54
STORE_ON_MODIFIED,LOCAL,16384,14.7
STORE_ON_EXCLUSIVE,LOCAL,16384,16.08
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,16384,23.6
LOAD_FROM_MODIFIED,SOCKET,16384,23.8
LOAD_FROM_EXCLUSIVE,SOCKET,16384,23.76
STORE_ON_SHARED_OR_FORWARD,SOCKET,16384,25.21
STORE_ON_MODIFIED,SOCKET,16384,25.27
STORE_ON_EXCLUSIVE,SOCKET,16384,25.21
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,16384,24.7
LOAD_FROM_MODIFIED,GLOBAL,16384,24.81
LOAD_FROM_EXCLUSIVE,GLOBAL,16384,24.74
STORE_ON_SHARED_OR_FORWARD,GLOBAL,16384,27.13
STORE_ON_MODIFIED,GLOBAL,16384,27.34
STORE_ON_EXCLUSIVE,GLOBAL,16384,27.28
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,32768,13.67
LOAD_FROM_MODIFIED,LOCAL,32768,15.07
LOAD_FROM_EXCLUSIVE,LOCAL,32768,10.83
STORE_ON_SHARED_OR_FORWARD,LOCAL,32768,14.14
STORE_ON_MODIFIED,LOCAL,32768,15.51
STORE_ON_EXCLUSIVE,LOCAL,32768,11.68
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,32768,23.36
LOAD_FROM_MODIFIED,SOCKET,32768,24.34
LOAD_FROM_EXCLUSIVE,SOCKET,32768,24.67
STORE_ON_SHARED_OR_FORWARD,SOCKET,32768,25.28
STORE_ON_MODIFIED,SOCKET,32768,25.81
STORE_ON_EXCLUSIVE,SOCKET,32768,25.84
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,32768,24.39
LOAD_FROM_MODIFIED,GLOBAL,32768,24.48
LOAD_FROM_EXCLUSIVE,GLOBAL,32768,25.5
STORE_ON_SHARED_OR_FORWARD,GLOBAL,32768,25.65
STORE_ON_MODIFIED,GLOBAL,32768,26.16
STORE_ON_EXCLUSIVE,GLOBAL,32768,28.19
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,65536,21.87
LOAD_FROM_MODIFIED,LOCAL,65536,22.46
LOAD_FROM_EXCLUSIVE,LOCAL,65536,17.88
STORE_ON_SHARED_OR_FORWARD,LOCAL,65536,23.34
STORE_ON_MODIFIED,LOCAL,65536,22.98
STORE_ON_EXCLUSIVE,LOCAL,65536,18.19
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,65536,30.68
LOAD_FROM_MODIFIED,SOCKET,65536,31.94
LOAD_FROM_EXCLUSIVE,SOCKET,65536,45.32
STORE_ON_SHARED_OR_FORWARD,SOCKET,65536,32.72
STORE_ON_MODIFIED,SOCKET,65536,31.24
STORE_ON_EXCLUSIVE,SOCKET,65536,46.36
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,65536,41.5
LOAD_FROM_MODIFIED,GLOBAL,65536,30.18
LOAD_FROM_EXCLUSIVE,GLOBAL,65536,47.65
STORE_ON_SHARED_OR_FORWARD,GLOBAL,65536,44.02
STORE_ON_MODIFIED,GLOBAL,65536,28.23
STORE_ON_EXCLUSIVE,GLOBAL,65536,49.51
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,131072,19.12
LOAD_FROM_MODIFIED,LOCAL,131072,18.47
LOAD_FROM_EXCLUSIVE,LOCAL,131072,17.9
STORE_ON_SHARED_OR_FORWARD,LOCAL,131072,21.25
STORE_ON_MODIFIED,LOCAL,131072,18.91
STORE_ON_EXCLUSIVE,LOCAL,131072,18.12
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,131072,19.87
LOAD_FROM_MODIFIED,SOCKET,131072,21.59
LOAD_FROM_EXCLUSIVE,SOCKET,131072,37.75
STORE_ON_SHARED_OR_FORWARD,SOCKET,131072,21.25
STORE_ON_MODIFIED,SOCKET,131072,21.79
STORE_ON_EXCLUSIVE,SOCKET,131072,39.19
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,131072,41.39
LOAD_FROM_MODIFIED,GLOBAL,131072,33.05
LOAD_FROM_EXCLUSIVE,GLOBAL,131072,50.85
STORE_ON_SHARED_OR_FORWARD,GLOBAL,131072,39.03
STORE_ON_MODIFIED,GLOBAL,131072,34.36
STORE_ON_EXCLUSIVE,GLOBAL,131072,52.33
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,262144,20.77
LOAD_FROM_MODIFIED,LOCAL,262144,19.61
LOAD_FROM_EXCLUSIVE,LOCAL,262144,18.09
STORE_ON_SHARED_OR_FORWARD,LOCAL,262144,22.88
STORE_ON_MODIFIED,LOCAL,262144,18.13
STORE_ON_EXCLUSIVE,LOCAL,262144,18.21
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,262144,22.05
LOAD_FROM_MODIFIED,SOCKET,262144,26.17
LOAD_FROM_EXCLUSIVE,SOCKET,262144,45.56
