Test,Placement,Size,Cycles
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,4096,42.02
LOAD_FROM_MODIFIED,LOCAL,4096,42.27
LOAD_FROM_EXCLUSIVE,LOCAL,4096,42.01
STORE_ON_SHARED_OR_FORWARD,LOCAL,4096,78.54
STORE_ON_MODIFIED,LOCAL,4096,47.53
STORE_ON_EXCLUSIVE,LOCAL,4096,47.31
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,4096,102.32
LOAD_FROM_MODIFIED,SOCKET,4096,145.95
LOAD_FROM_EXCLUSIVE,SOCKET,4096,185.04
STORE_ON_SHARED_OR_FORWARD,SOCKET,4096,189.7
STORE_ON_MODIFIED,SOCKET,4096,176.22
STORE_ON_EXCLUSIVE,SOCKET,4096,208.58
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,4096,332.08
LOAD_FROM_MODIFIED,GLOBAL,4096,308.02
LOAD_FROM_EXCLUSIVE,GLOBAL,4096,341.58
STORE_ON_SHARED_OR_FORWARD,GLOBAL,4096,353.86
STORE_ON_MODIFIED,GLOBAL,4096,402.0
STORE_ON_EXCLUSIVE,GLOBAL,4096,361.93
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,8192,37.61
LOAD_FROM_MODIFIED,LOCAL,8192,41.48
LOAD_FROM_EXCLUSIVE,LOCAL,8192,39.09
STORE_ON_SHARED_OR_FORWARD,LOCAL,8192,121.51
STORE_ON_MODIFIED,LOCAL,8192,48.03
STORE_ON_EXCLUSIVE,LOCAL,8192,51.01
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,8192,100.76
LOAD_FROM_MODIFIED,SOCKET,8192,149.52
LOAD_FROM_EXCLUSIVE,SOCKET,8192,191.92
STORE_ON_SHARED_OR_FORWARD,SOCKET,8192,203.14
STORE_ON_MODIFIED,SOCKET,8192,172.07
STORE_ON_EXCLUSIVE,SOCKET,8192,235.33
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,8192,338.29
LOAD_FROM_MODIFIED,GLOBAL,8192,307.04
LOAD_FROM_EXCLUSIVE,GLOBAL,8192,347.67
STORE_ON_SHARED_OR_FORWARD,GLOBAL,8192,358.6
