Test,Placement,Size,PAPI_TOT_INS,perf::L1-DCACHE-LOAD-MISSES,perf::L1-DCACHE-LOADS,Cycles
LOAD_FROM_MODIFIED,LOCAL,64,366.5,16.37,149.19,145.04
LOAD_FROM_EXCLUSIVE,LOCAL,64,366.19,15.99,148.84,140.38
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,64,366.44,15.35,149.21,116.56
LOAD_FROM_INVALID,LOCAL,64,366.33,15.91,148.97,354.28
STORE_ON_MODIFIED,LOCAL,64,368.96,17.34,149.66,153.06
STORE_ON_EXCLUSIVE,LOCAL,64,369.32,16.9,149.71,147.82
STORE_ON_SHARED_OR_FORWARD,LOCAL,64,369.45,16.84,149.79,125.28
STORE_ON_INVALID,LOCAL,64,369.21,17.11,149.52,367.92
LOAD_FROM_MODIFIED,SOCKET,64,367.45,14.86,148.92,290.46
LOAD_FROM_EXCLUSIVE,SOCKET,64,367.66,14.55,148.68,289.76
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,64,367.5,14.45,149.1,150.68
LOAD_FROM_INVALID,SOCKET,64,366.98,14.63,149.34,374.96
STORE_ON_MODIFIED,SOCKET,64,370.66,16.21,150.38,293.12
STORE_ON_EXCLUSIVE,SOCKET,64,370.65,15.36,150.21,293.06
STORE_ON_SHARED_OR_FORWARD,SOCKET,64,370.48,15.37,150.17,158.28
STORE_ON_INVALID,SOCKET,64,370.38,15.37,150.21,366.62
LOAD_FROM_MODIFIED,GLOBAL,64,367.42,15.58,148.42,493.66
LOAD_FROM_EXCLUSIVE,GLOBAL,64,367.43,14.86,148.47,490.86
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,64,367.69,15.1,148.46,372.6
LOAD_FROM_INVALID,GLOBAL,64,367.43,15.32,148.6,541.22
STORE_ON_MODIFIED,GLOBAL,64,369.83,16.82,149.24,491.62
STORE_ON_EXCLUSIVE,GLOBAL,64,369.7,16.84,149.2,494.18
STORE_ON_SHARED_OR_FORWARD,GLOBAL,64,369.3,16.4,149.28,378.2
STORE_ON_INVALID,GLOBAL,64,369.82,16.66,149.32,569.44
LOAD_FROM_MODIFIED,LOCAL,128,187.71,8.16,77.03,107.88
LOAD_FROM_EXCLUSIVE,LOCAL,128,187.83,8.06,76.92,111.13
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,128,187.66,8.2,76.91,304.2
LOAD_FROM_INVALID,LOCAL,128,187.72,8.06,76.81,314.26
STORE_ON_MODIFIED,LOCAL,128,190.81,8.81,77.85,100.5
STORE_ON_EXCLUSIVE,LOCAL,128,190.98,8.53,77.89,127.13
STORE_ON_SHARED_OR_FORWARD,LOCAL,128,190.78,8.66,77.87,306.91
STORE_ON_INVALID,LOCAL,128,190.94,8.62,77.81,311.47
LOAD_FROM_MODIFIED,SOCKET,128,187.78,8.13,77.2,236.09
LOAD_FROM_EXCLUSIVE,SOCKET,128,187.78,7.92,77.03,240.35
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,128,187.88,7.96,77.17,298.01
LOAD_FROM_INVALID,SOCKET,128,187.91,8.05,77.17,298.4
STORE_ON_MODIFIED,SOCKET,128,190.73,9.3,78.06,245.76
STORE_ON_EXCLUSIVE,SOCKET,128,190.81,9.08,78.03,249.9
STORE_ON_SHARED_OR_FORWARD,SOCKET,128,190.81,8.4,78.15,305.65
STORE_ON_INVALID,SOCKET,128,190.72,8.4,78.11,318.78
LOAD_FROM_MODIFIED,GLOBAL,128,187.81,8.34,76.81,420.61
LOAD_FROM_EXCLUSIVE,GLOBAL,128,187.78,8.24,76.81,417.45
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,128,187.87,8.2,76.75,356.98
LOAD_FROM_INVALID,GLOBAL,128,187.86,8.16,76.74,447.11
STORE_ON_MODIFIED,GLOBAL,128,190.55,9.1,77.69,420.38
STORE_ON_EXCLUSIVE,GLOBAL,128,190.72,9.54,77.7,418.38
STORE_ON_SHARED_OR_FORWARD,GLOBAL,128,190.78,8.86,77.7,360.75
STORE_ON_INVALID,GLOBAL,128,190.71,8.81,77.8,465.24
LOAD_FROM_MODIFIED,LOCAL,256,97.9,4.62,40.88,47.0
LOAD_FROM_EXCLUSIVE,LOCAL,256,97.78,4.61,40.93,43.31
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,256,97.88,4.57,40.94,47.92
LOAD_FROM_INVALID,LOCAL,256,97.78,4.54,40.94,271.14
STORE_ON_MODIFIED,LOCAL,256,100.78,4.86,41.92,48.23
STORE_ON_EXCLUSIVE,LOCAL,256,100.81,4.77,41.9,48.03
STORE_ON_SHARED_OR_FORWARD,LOCAL,256,100.79,5.54,41.88,51.49
STORE_ON_INVALID,LOCAL,256,100.95,4.85,41.89,278.55
LOAD_FROM_MODIFIED,SOCKET,256,97.83,4.69,41.07,195.76
LOAD_FROM_EXCLUSIVE,SOCKET,256,97.93,4.57,40.94,192.5
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,256,97.89,4.58,41.06,76.96
LOAD_FROM_INVALID,SOCKET,256,97.87,4.67,41.04,259.9
STORE_ON_MODIFIED,SOCKET,256,100.86,5.64,42.04,201.1
STORE_ON_EXCLUSIVE,SOCKET,256,100.94,5.51,42.01,200.79
STORE_ON_SHARED_OR_FORWARD,SOCKET,256,100.76,5.58,42.08,79.53
STORE_ON_INVALID,SOCKET,256,100.86,4.74,42.02,269.67
LOAD_FROM_MODIFIED,GLOBAL,256,97.88,4.71,40.9,408.0
LOAD_FROM_EXCLUSIVE,GLOBAL,256,97.86,4.64,40.84,401.73
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,256,97.83,4.68,40.86,363.65
LOAD_FROM_INVALID,GLOBAL,256,97.87,4.69,40.85,446.05
STORE_ON_MODIFIED,GLOBAL,256,100.73,5.18,41.81,407.19
STORE_ON_EXCLUSIVE,GLOBAL,256,100.63,5.61,41.86,401.37
STORE_ON_SHARED_OR_FORWARD,GLOBAL,256,100.7,4.91,41.83,360.24
STORE_ON_INVALID,GLOBAL,256,100.7,4.99,41.85,438.47
LOAD_FROM_MODIFIED,LOCAL,512,52.97,2.93,22.97,27.36
LOAD_FROM_EXCLUSIVE,LOCAL,512,52.96,2.91,22.96,26.6
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,512,52.95,2.88,22.97,27.25
LOAD_FROM_INVALID,LOCAL,512,52.93,2.89,22.97,239.48
STORE_ON_MODIFIED,LOCAL,512,55.95,3.13,23.96,28.58
STORE_ON_EXCLUSIVE,LOCAL,512,55.88,2.98,23.95,28.57
STORE_ON_SHARED_OR_FORWARD,LOCAL,512,55.97,3.8,23.95,37.59
STORE_ON_INVALID,LOCAL,512,55.93,3.03,23.94,249.87
LOAD_FROM_MODIFIED,SOCKET,512,52.92,3.04,22.95,178.13
LOAD_FROM_EXCLUSIVE,SOCKET,512,52.91,2.9,22.96,177.39
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,512,52.9,2.92,23.03,68.75
LOAD_FROM_INVALID,SOCKET,512,52.94,2.94,22.95,253.97
STORE_ON_MODIFIED,SOCKET,512,55.9,3.92,24.01,165.75
STORE_ON_EXCLUSIVE,SOCKET,512,55.92,3.78,23.97,160.9
STORE_ON_SHARED_OR_FORWARD,SOCKET,512,55.92,3.93,23.97,70.41
STORE_ON_INVALID,SOCKET,512,55.9,3.07,23.98,256.11
LOAD_FROM_MODIFIED,GLOBAL,512,52.84,3.11,22.95,367.22
LOAD_FROM_EXCLUSIVE,GLOBAL,512,52.78,3.02,22.9,362.53
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,512,52.84,2.99,22.95,350.77
LOAD_FROM_INVALID,GLOBAL,512,52.84,2.98,22.93,416.21
STORE_ON_MODIFIED,GLOBAL,512,55.82,3.26,23.94,366.35
STORE_ON_EXCLUSIVE,GLOBAL,512,55.79,3.91,23.92,348.02
STORE_ON_SHARED_OR_FORWARD,GLOBAL,512,55.91,3.12,23.91,351.71
STORE_ON_INVALID,GLOBAL,512,55.84,3.13,23.91,434.58
LOAD_FROM_MODIFIED,LOCAL,1024,30.46,1.77,13.98,34.51
LOAD_FROM_EXCLUSIVE,LOCAL,1024,30.45,1.75,13.99,34.62
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,1024,30.45,1.75,13.99,32.23
LOAD_FROM_INVALID,LOCAL,1024,30.47,1.76,14.0,158.17
STORE_ON_MODIFIED,LOCAL,1024,33.44,1.84,14.95,35.46
STORE_ON_EXCLUSIVE,LOCAL,1024,33.48,1.81,14.96,35.07
STORE_ON_SHARED_OR_FORWARD,LOCAL,1024,33.45,2.71,14.97,37.98
STORE_ON_INVALID,LOCAL,1024,33.48,1.8,14.96,155.36
LOAD_FROM_MODIFIED,SOCKET,1024,30.47,1.77,14.0,151.39
LOAD_FROM_EXCLUSIVE,SOCKET,1024,30.49,1.74,13.96,150.15
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,1024,30.48,1.75,14.0,78.81
LOAD_FROM_INVALID,SOCKET,1024,30.5,1.74,13.98,193.96
STORE_ON_MODIFIED,SOCKET,1024,33.49,2.54,14.97,137.38
STORE_ON_EXCLUSIVE,SOCKET,1024,33.47,2.53,14.95,136.38
STORE_ON_SHARED_OR_FORWARD,SOCKET,1024,33.42,2.65,14.99,79.95
STORE_ON_INVALID,SOCKET,1024,33.46,2.04,14.98,191.74
LOAD_FROM_MODIFIED,GLOBAL,1024,30.46,1.77,13.96,316.12
LOAD_FROM_EXCLUSIVE,GLOBAL,1024,30.47,1.78,13.96,294.37
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,1024,30.48,1.77,13.97,287.44
LOAD_FROM_INVALID,GLOBAL,1024,30.45,1.77,13.97,348.74
STORE_ON_MODIFIED,GLOBAL,1024,33.45,1.87,14.97,321.97
STORE_ON_EXCLUSIVE,GLOBAL,1024,33.46,2.55,14.96,288.39
STORE_ON_SHARED_OR_FORWARD,GLOBAL,1024,33.43,1.82,14.97,310.96
STORE_ON_INVALID,GLOBAL,1024,33.47,2.06,14.95,314.59
LOAD_FROM_MODIFIED,LOCAL,2048,19.2,1.59,9.49,35.52
LOAD_FROM_EXCLUSIVE,LOCAL,2048,19.24,1.57,9.48,34.19
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,2048,19.22,1.57,9.48,40.94
LOAD_FROM_INVALID,LOCAL,2048,19.22,1.55,9.49,154.39
STORE_ON_MODIFIED,LOCAL,2048,22.22,1.61,10.47,35.54
STORE_ON_EXCLUSIVE,LOCAL,2048,22.23,1.59,10.48,36.67
STORE_ON_SHARED_OR_FORWARD,LOCAL,2048,22.24,2.1,10.49,60.57
STORE_ON_INVALID,LOCAL,2048,22.22,1.58,10.48,166.8
LOAD_FROM_MODIFIED,SOCKET,2048,19.24,1.59,9.49,110.95
LOAD_FROM_EXCLUSIVE,SOCKET,2048,19.23,1.57,9.5,114.09
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,2048,19.23,1.55,9.49,52.85
LOAD_FROM_INVALID,SOCKET,2048,19.23,1.55,9.49,149.42
STORE_ON_MODIFIED,SOCKET,2048,22.23,2.04,10.49,95.81
STORE_ON_EXCLUSIVE,SOCKET,2048,22.23,2.0,10.49,97.64
STORE_ON_SHARED_OR_FORWARD,SOCKET,2048,22.23,2.06,10.49,64.61
STORE_ON_INVALID,SOCKET,2048,22.23,1.57,10.49,160.34
LOAD_FROM_MODIFIED,GLOBAL,2048,19.24,1.59,9.49,227.91
LOAD_FROM_EXCLUSIVE,GLOBAL,2048,19.24,1.58,9.48,224.68
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,2048,19.24,1.56,9.48,217.36
LOAD_FROM_INVALID,GLOBAL,2048,19.24,1.56,9.48,252.06
STORE_ON_MODIFIED,GLOBAL,2048,22.23,1.59,10.48,229.07
STORE_ON_EXCLUSIVE,GLOBAL,2048,22.24,2.06,10.48,215.37
STORE_ON_SHARED_OR_FORWARD,GLOBAL,2048,22.24,1.56,10.48,222.93
STORE_ON_INVALID,GLOBAL,2048,22.24,1.56,10.47,248.56
LOAD_FROM_MODIFIED,LOCAL,4096,13.62,1.28,7.24,33.89
LOAD_FROM_EXCLUSIVE,LOCAL,4096,13.62,1.28,7.25,32.85
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,4096,13.62,1.28,7.24,27.8
LOAD_FROM_INVALID,LOCAL,4096,13.62,1.27,7.24,149.35
STORE_ON_MODIFIED,LOCAL,4096,16.62,1.3,8.24,36.05
STORE_ON_EXCLUSIVE,LOCAL,4096,16.62,1.29,8.24,36.27
STORE_ON_SHARED_OR_FORWARD,LOCAL,4096,16.62,1.87,8.24,61.87
STORE_ON_INVALID,LOCAL,4096,16.62,1.29,8.24,149.1
LOAD_FROM_MODIFIED,SOCKET,4096,13.62,1.28,7.18,111.11
LOAD_FROM_EXCLUSIVE,SOCKET,4096,13.62,1.28,7.18,110.33
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,4096,13.62,1.27,7.19,42.89
LOAD_FROM_INVALID,SOCKET,4096,13.62,1.27,7.18,151.26
STORE_ON_MODIFIED,SOCKET,4096,16.62,1.71,8.2,94.84
STORE_ON_EXCLUSIVE,SOCKET,4096,16.62,1.71,8.2,97.37
STORE_ON_SHARED_OR_FORWARD,SOCKET,4096,16.62,1.77,8.21,63.67
STORE_ON_INVALID,SOCKET,4096,16.62,1.29,8.19,159.64
LOAD_FROM_MODIFIED,GLOBAL,4096,13.61,1.3,7.24,232.59
LOAD_FROM_EXCLUSIVE,GLOBAL,4096,13.61,1.3,7.24,225.8
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,4096,13.61,1.29,7.24,220.9
LOAD_FROM_INVALID,GLOBAL,4096,13.6,1.28,7.24,256.31
STORE_ON_MODIFIED,GLOBAL,4096,16.61,1.31,8.24,239.47
STORE_ON_EXCLUSIVE,GLOBAL,4096,16.61,1.75,8.24,190.35
STORE_ON_SHARED_OR_FORWARD,GLOBAL,4096,16.61,1.31,8.24,222.97
STORE_ON_INVALID,GLOBAL,4096,16.62,1.3,8.24,258.84
LOAD_FROM_MODIFIED,LOCAL,8192,10.81,1.16,6.12,27.85
LOAD_FROM_EXCLUSIVE,LOCAL,8192,10.81,1.16,6.12,26.82
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,8192,10.81,1.16,6.11,26.32
LOAD_FROM_INVALID,LOCAL,8192,10.8,1.15,6.11,143.35
STORE_ON_MODIFIED,LOCAL,8192,13.81,1.16,7.11,29.53
STORE_ON_EXCLUSIVE,LOCAL,8192,13.81,1.17,7.11,29.22
STORE_ON_SHARED_OR_FORWARD,LOCAL,8192,13.81,1.57,7.11,57.09
STORE_ON_INVALID,LOCAL,8192,13.81,1.15,7.1,144.36
LOAD_FROM_MODIFIED,SOCKET,8192,10.81,1.15,6.12,100.03
LOAD_FROM_EXCLUSIVE,SOCKET,8192,10.81,1.15,6.12,103.64
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,8192,10.81,1.15,6.12,43.6
LOAD_FROM_INVALID,SOCKET,8192,10.81,1.14,6.12,143.39
STORE_ON_MODIFIED,SOCKET,8192,13.81,1.53,7.12,86.49
STORE_ON_EXCLUSIVE,SOCKET,8192,13.81,1.53,7.12,85.85
STORE_ON_SHARED_OR_FORWARD,SOCKET,8192,13.81,1.55,7.12,60.12
STORE_ON_INVALID,SOCKET,8192,13.81,1.15,7.12,147.92
LOAD_FROM_MODIFIED,GLOBAL,8192,10.81,1.15,6.12,214.88
LOAD_FROM_EXCLUSIVE,GLOBAL,8192,10.81,1.16,6.12,212.65
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,8192,10.81,1.15,6.12,198.45
LOAD_FROM_INVALID,GLOBAL,8192,10.81,1.15,6.12,239.49
STORE_ON_MODIFIED,GLOBAL,8192,13.81,1.16,7.12,218.38
STORE_ON_EXCLUSIVE,GLOBAL,8192,13.81,1.53,7.12,180.19
STORE_ON_SHARED_OR_FORWARD,GLOBAL,8192,13.81,1.16,7.12,202.09
STORE_ON_INVALID,GLOBAL,8192,13.81,1.15,7.12,236.67
LOAD_FROM_MODIFIED,LOCAL,16384,9.4,1.11,5.56,35.38
LOAD_FROM_EXCLUSIVE,LOCAL,16384,9.4,1.11,5.56,32.1
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,16384,9.4,1.11,5.56,46.51
LOAD_FROM_INVALID,LOCAL,16384,9.4,1.11,5.56,111.2
STORE_ON_MODIFIED,LOCAL,16384,12.4,1.11,6.56,37.17
STORE_ON_EXCLUSIVE,LOCAL,16384,12.4,1.11,6.56,34.47
