Test,Placement,Size,PAPI_TOT_INS,perf::L1-DCACHE-LOAD-MISSES,perf::L1-DCACHE-LOADS,Cycles
LOAD_FROM_MODIFIED,LOCAL,64,372.0,14.21,211.49,135.29
LOAD_FROM_EXCLUSIVE,LOCAL,64,372.0,13.36,210.48,129.75
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,64,372.0,14.48,211.33,146.59
LOAD_FROM_INVALID,LOCAL,64,372.0,14.99,210.73,328.07
STORE_ON_MODIFIED,LOCAL,64,375.0,14.99,212.47,161.29
STORE_ON_EXCLUSIVE,LOCAL,64,375.0,14.49,215.83,149.47
STORE_ON_SHARED_OR_FORWARD,LOCAL,64,375.0,15.43,212.33,163.22
STORE_ON_INVALID,LOCAL,64,375.0,16.11,211.71,359.33
LOAD_FROM_MODIFIED,SOCKET,64,372.0,15.87,213.1,243.71
LOAD_FROM_EXCLUSIVE,SOCKET,64,372.0,15.69,208.14,242.02
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,64,372.0,15.29,215.88,214.89
LOAD_FROM_INVALID,SOCKET,64,372.0,16.07,215.29,395.99
STORE_ON_MODIFIED,SOCKET,64,375.0,15.91,210.37,260.44
STORE_ON_EXCLUSIVE,SOCKET,64,375.0,16.31,209.81,272.37
STORE_ON_SHARED_OR_FORWARD,SOCKET,64,375.0,15.68,210.02,222.88
STORE_ON_INVALID,SOCKET,64,375.0,16.72,210.15,406.66
LOAD_FROM_MODIFIED,GLOBAL,64,372.01,15.46,224.81,234.81
LOAD_FROM_EXCLUSIVE,GLOBAL,64,372.0,15.63,207.45,227.71
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,64,372.0,16.12,207.47,198.75
LOAD_FROM_INVALID,GLOBAL,64,372.0,15.55,207.75,367.18
STORE_ON_MODIFIED,GLOBAL,64,375.0,16.15,209.24,256.27
STORE_ON_EXCLUSIVE,GLOBAL,64,375.0,16.23,208.38,262.72
STORE_ON_SHARED_OR_FORWARD,GLOBAL,64,375.0,16.62,217.26,212.1
STORE_ON_INVALID,GLOBAL,64,375.0,17.26,208.72,396.04
LOAD_FROM_MODIFIED,LOCAL,128,190.0,7.57,108.39,76.34
LOAD_FROM_EXCLUSIVE,LOCAL,128,190.0,7.64,108.41,76.94
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,128,190.0,7.38,108.47,75.0
LOAD_FROM_INVALID,LOCAL,128,190.0,8.13,110.18,174.97
STORE_ON_MODIFIED,LOCAL,128,193.0,8.28,109.34,93.81
STORE_ON_EXCLUSIVE,LOCAL,128,193.0,8.38,109.19,92.58
STORE_ON_SHARED_OR_FORWARD,LOCAL,128,193.0,8.37,109.44,89.87
STORE_ON_INVALID,LOCAL,128,193.0,8.67,109.25,183.68
LOAD_FROM_MODIFIED,SOCKET,128,190.0,7.87,108.3,123.47
LOAD_FROM_EXCLUSIVE,SOCKET,128,190.0,7.48,106.61,136.69
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,128,190.0,7.68,110.19,115.38
LOAD_FROM_INVALID,SOCKET,128,190.0,8.21,110.28,224.65
STORE_ON_MODIFIED,SOCKET,128,193.0,8.61,107.89,148.21
STORE_ON_EXCLUSIVE,SOCKET,128,193.0,8.91,107.76,165.47
STORE_ON_SHARED_OR_FORWARD,SOCKET,128,193.0,8.46,109.44,137.41
STORE_ON_INVALID,SOCKET,128,193.0,8.48,109.71,243.91
LOAD_FROM_MODIFIED,GLOBAL,128,190.0,8.08,109.73,130.16
LOAD_FROM_EXCLUSIVE,GLOBAL,128,190.0,8.16,107.11,139.69
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,128,190.0,8.16,110.09,120.5
LOAD_FROM_INVALID,GLOBAL,128,190.0,8.21,106.68,230.19
STORE_ON_MODIFIED,GLOBAL,128,193.0,8.78,107.22,144.62
STORE_ON_EXCLUSIVE,GLOBAL,128,193.0,9.13,107.61,161.2
STORE_ON_SHARED_OR_FORWARD,GLOBAL,128,193.0,8.79,107.42,136.27
STORE_ON_INVALID,GLOBAL,128,193.0,8.96,109.9,236.36
LOAD_FROM_MODIFIED,LOCAL,256,99.0,5.25,57.05,81.15
LOAD_FROM_EXCLUSIVE,LOCAL,256,99.0,4.85,56.84,81.19
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,256,99.0,4.77,59.15,82.4
LOAD_FROM_INVALID,LOCAL,256,99.0,5.26,56.68,258.68
STORE_ON_MODIFIED,LOCAL,256,102.0,5.17,57.98,95.19
STORE_ON_EXCLUSIVE,LOCAL,256,102.0,5.02,57.84,92.62
STORE_ON_SHARED_OR_FORWARD,LOCAL,256,102.0,5.25,58.85,92.08
STORE_ON_INVALID,LOCAL,256,102.0,5.5,60.59,265.98
LOAD_FROM_MODIFIED,SOCKET,256,99.0,5.12,55.83,160.04
LOAD_FROM_EXCLUSIVE,SOCKET,256,99.0,5.25,55.77,170.74
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,256,99.0,5.23,56.83,127.36
LOAD_FROM_INVALID,SOCKET,256,99.0,5.15,57.04,304.18
STORE_ON_MODIFIED,SOCKET,256,102.0,5.88,56.79,184.69
STORE_ON_EXCLUSIVE,SOCKET,256,102.0,5.94,56.89,182.56
STORE_ON_SHARED_OR_FORWARD,SOCKET,256,102.0,5.96,56.84,144.06
STORE_ON_INVALID,SOCKET,256,102.0,5.18,57.88,314.72
LOAD_FROM_MODIFIED,GLOBAL,256,99.0,4.93,55.72,160.37
LOAD_FROM_EXCLUSIVE,GLOBAL,256,99.0,4.99,55.87,172.54
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,256,99.0,5.0,55.76,123.36
LOAD_FROM_INVALID,GLOBAL,256,99.0,4.99,55.96,302.16
STORE_ON_MODIFIED,GLOBAL,256,102.0,5.68,59.03,175.87
